258 3 184,0 1 0 1 0 1 12 0 42,81 
353 3 169,0 1 0 0 1 1 4 0 47,38 
269 3 157,0 0 2 1 0 0 1 -2 42,78 
269 3 161,0 0 1 0 1 1 2 0 45,72 
720 3 175,0 1 1 1 0 0 -10 -15 45,81 
215 3 174,0 0 0 0 2 1 1 -4 37,77 
265 4 215,0 2 1 1 0 0 3 0 39,86 
383 1 51,0 0 0 0 0 1 4 0 39,87 
819 2 118,0 1 0 0 0 1 8 0 42,61 
858 3 164,0 1 0 2 0 0 15 0 46,47 
400 2 106,0 1 1 0 0 0 -3 -3 44,56 
392 2 108,0 0 1 0 0 1 0 0 41,21 
205 2 105,0 1 1 0 0 0 -3 -3 38,37 
783 1 51,0 0 0 0 1 0 -3 -3 42,15 
247 2 104,0 1 0 1 0 0 4 0 41,39 
693 2 107,0 1 0 1 0 0 0 0 42,38 
261 4 240,0 0 0 2 0 2 7 0 47,08 
244 2 121,0 1 0 0 0 1 -3 -3 38,84 
546 2 120,0 0 1 0 0 1 3 0 40,97 
316 3 163,0 0 2 1 0 0 8 0 38,17 
200 2 109,0 1 1 0 0 0 0 0 39,98 
819 3 159,0 0 3 0 0 0 16 0 45,9 
783 2 117,0 1 0 0 0 1 7 0 47,51 
291 2 116,0 0 0 0 1 1 4 0 45,31 
581 2 108,0 0 0 2 0 0 3 0 41,66 
410 3 185,0 1 0 0 2 0 11 0 47,42 
643 2 118,0 0 1 1 0 0 24 0 40,5 
286 3 156,0 1 1 1 0 0 -4 -4 47,4 
462 2 118,0 0 0 1 0 1 5 0 47,82 
858 3 162,0 0 1 1 0 1 12 0 43,85 
234 3 174,0 0 2 0 0 1 1 -2 46,89 
296 2 132,0 1 0 0 1 0 4 0 41,99 
948 2 112,0 1 1 0 0 0 -6 -6 42,68 
322 2 130,0 0 0 0 1 1 5 -1 46,5 
269 3 185,0 1 1 0 0 1 4 0 42,57 
900 2 119,0 0 1 0 1 0 -1 -10 41,65 
277 2 107,0 1 0 0 1 0 12 0 42,65 
261 3 184,0 1 0 1 0 1 0 0 40,46 
858 2 108,0 0 1 0 0 1 0 -3 44,62 
258 3 171,0 1 0 1 1 0 12 0 40,34 
217 2 110,0 0 1 0 0 1 3 -4 41,61 
1000 2 117,0 0 0 1 1 0 -1 -8 47,72 
720 1 64,0 0 0 1 0 0 8 0 43,61 
353 3 157,0 2 0 1 0 0 2 0 44,68 
900 3 166,0 2 1 0 0 0 0 0 41,98 
600 2 119,0 0 0 1 1 0 -9 -9 44,68 
600 2 110,0 0 0 0 1 1 -2 -9 46,45 
258 3 164,0 1 0 1 0 1 -2 -7 42,96 
410 1 52,0 0 0 0 0 1 11 0 42,42 
300 1 54,0 1 0 0 0 0 0 0 41,14 
220 1 55,0 0 0 0 0 1 6 0 44,94 
231 3 166,0 1 0 1 0 1 0 0 40,31 
306 1 54,0 0 0 1 0 0 0 0 43,41 
237 2 105,0 0 1 1 0 0 0 0 34,97 
643 2 106,0 0 0 0 1 1 3 0 42,48 
368 2 121,0 0 1 0 0 1 -2 -5 42,4 
306 2 131,0 2 0 0 0 0 0 0 43,42 
360 3 167,0 0 0 1 1 1 10 -9 43,34 
291 3 162,0 1 0 1 1 0 15 0 40,0 
296 3 163,0 1 0 1 0 1 -10 -10 41,35 
462 2 106,0 0 0 1 0 1 3 0 39,18 
500 2 105,0 0 0 1 1 0 3 -5 39,62 
600 1 54,0 0 0 0 1 0 13 0 46,14 
375 2 109,0 2 0 0 0 0 0 0 39,25 
383 1 65,0 0 0 1 0 0 2 0 43,26 
474 1 51,0 0 0 1 0 0 -1 -1 42,11 
462 2 115,0 1 0 1 0 0 -2 -2 40,87 
215 2 121,0 0 0 1 0 1 1 0 42,14 
429 3 161,0 0 1 1 1 0 0 -5 41,72 
340 1 54,0 1 0 0 0 0 0 0 36,52 
440 3 180,0 1 1 1 0 0 8 0 43,86 
291 3 158,0 0 3 0 0 0 15 0 45,89 
720 2 118,0 1 0 1 0 0 6 0 42,68 
340 1 52,0 0 0 0 1 0 8 0 40,7 
375 3 171,0 1 1 1 0 0 3 -4 41,94 
203 0 0 0 0 0 0 0 0 0 41,45 
487 2 118,0 0 0 2 0 0 9 0 42,19 
247 2 121,0 1 0 1 0 0 3 0 47,11 
217 3 171,0 0 0 3 0 0 3 -1 35,3 
667 2 130,0 0 1 1 0 0 11 0 48,67 
419 3 159,0 0 1 2 0 0 -3 -6 41,73 
858 4 211,0 0 2 2 0 0 26 -9 51,95 
220 1 54,0 0 0 1 0 0 6 0 37,53 
247 2 107,0 1 0 1 0 0 -2 -2 46,33 
207 1 65,0 0 0 1 0 0 0 0 47,83 
300 3 173,0 0 0 3 0 0 -1 -1 35,95 
223 2 110,0 0 0 2 0 0 1 0 39,04 
258 4 223,0 0 0 4 0 0 13 0 40,03 
306 3 168,0 0 0 3 0 0 -1 -2 39,35 
667 1 54,0 0 1 0 0 0 8 0 40,47 
247 2 118,0 0 0 2 0 0 1 0 36,73 
750 2 116,0 1 0 1 0 0 7 0 36,02 
212 0 0 0 0 0 0 0 0 0 32,22 
334 1 54,0 0 0 1 0 0 4 0 42,06 
291 2 119,0 0 0 1 1 0 -6 -6 38,53 
462 3 165,0 0 1 2 0 0 -1 -8 42,22 
247 3 185,0 0 0 3 0 0 5 -1 42,12 
210 2 107,0 0 0 2 0 0 2 -2 40,34 
440 1 54,0 0 0 1 0 0 3 0 43,57 
306 3 170,0 0 1 2 0 0 -1 -2 43,17 
900 2 121,0 0 0 2 0 0 -8 -10 48,21 
217 3 161,0 0 0 3 0 0 7 0 32,57 
207 2 106,0 0 0 2 0 0 2 0 46,86 
450 2 119,0 0 0 2 0 0 10 0 38,16 
419 3 163,0 0 2 1 0 0 1 -6 41,03 
400 3 183,0 1 1 1 0 0 -3 -3 45,06 
643 4 228,0 0 2 1 0 1 20 0 51,43 
207 1 64,0 1 0 0 0 0 0 0 34,86 
530 3 160,0 0 1 2 0 0 9 0 40,0 
247 3 183,0 0 0 3 0 0 7 0 45,04 
546 2 118,0 0 1 1 0 0 12 0 39,27 
228 2 118,0 0 0 2 0 0 0 -2 37,59 
